public_space_name,house_number,house_letter,house_number_addition,postcode,city,gemeente,province,type_address_object,addressable_object,side_address,latitude,longitude,geompoint,geogpoint
De Ruijterkade,128,F,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579256,f,52.37751659,4.90714747,0101000020407100006F1283C07ADCFD40D9CEF7539BC61D41,0101000020E61000005152F043EBA01340BCC5A57652304A40
De Ruijterkade,128,G,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579257,f,52.37750004,4.90713813,010100002040710000F2D24D6270DCFD40AE47E1FA93C61D41,0101000020E6100000AB9750D1E8A0134097B0D4EB51304A40
De Ruijterkade,128,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618812,f,52.37759912,4.90718076,01010000204071000000000000A0DCFD4000000000C0C61D41,0101000020E6100000E28261FEF3A01340AB78FE2A55304A40
De Ruijterkade,139,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618813,f,52.37751984,4.90757814,0101000020407100000000000050DEFD40000000009CC61D41,0101000020E6100000ED93292A5CA11340EF08F49152304A40
De Ruijterkade,140,A,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012569284,f,52.37748941,4.90784254,010100002040710000560E2DB26FDFFD40AE47E1FA8DC61D41,0101000020E6100000C725A479A1A11340A269AD9251304A40
De Ruijterkade,140,B,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012569285,f,52.37745807,4.90783273,0101000020407100003D0AD7A364DFFD403BDF4F0D80C61D41,0101000020E610000077BD58E79EA113401055D28B50304A40
De Ruijterkade,140,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012062404,f,52.37748888,4.90784181,010100002040710000894160E56EDFFD4091ED7CBF8DC61D41,0101000020E6100000B44BBE48A1A1134006A0478E51304A40
De Ruijterkade,142,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012077386,f,52.37748346,4.90798609,010100002040710000759318040CE0FD408D976E128BC61D41,0101000020E6100000DC78E61AC7A113409356BD6051304A40
De Ruijterkade,143,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012077386,t,52.37748346,4.90798609,010100002040710000759318040CE0FD408D976E128BC61D41,0101000020E6100000DC78E61AC7A113409356BD6051304A40
De Ruijterkade,144,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618817,f,52.37744163,4.90823986,0101000020407100000000000020E1FD400000000078C61D41,0101000020E610000071492CA109A21340B163DF0150304A40
De Ruijterkade,146,A,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061046,f,52.37740806,4.90850977,0101000020407100006DE7FBA945E2FD408D976E9268C61D41,0101000020E6100000EFCF7A6250A21340C7833BE84E304A40
De Ruijterkade,146,B,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061047,f,52.37739141,4.90850451,010100002040710000B4C876BE3FE2FD402731082C61C61D41,0101000020E6100000DDAAE1014FA213408233935C4E304A40
De Ruijterkade,146,C,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061048,f,52.37739484,4.90853165,0101000020407100004E6210585DE2FD40D578E9A662C61D41,0101000020E6100000DCEBAD1E56A21340CC1264794E304A40
De Ruijterkade,146,D,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061049,f,52.37740128,4.90847906,010100002040710000A69BC42024E2FD403108AC9C65C61D41,0101000020E6100000AF28A75548A213405E3D66AF4E304A40
De Ruijterkade,147,A,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061054,f,52.37737954,4.90858431,0101000020407100008195438B96E2FD4091ED7CBF5BC61D41,0101000020E6100000740A23ED63A2134048DA0BF94D304A40
De Ruijterkade,147,B,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061055,f,52.37737061,4.9085663,0101000020407100004260E5D082E2FD40AAF1D2CD57C61D41,0101000020E610000089A369345FA21340E2CE18AE4D304A40
De Ruijterkade,147,C,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061056,f,52.37736291,4.90858088,01010000204071000054E3A59B92E2FD4008AC1C5A54C61D41,0101000020E61000005209BC0663A21340DEA6866D4D304A40
De Ruijterkade,148,A,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061050,f,52.37736757,4.90863878,010100002040710000B4C876BED1E2FD40FCA9F15256C61D41,0101000020E6100000819F5F3472A21340AA8AA8944D304A40
De Ruijterkade,148,B,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061051,f,52.37735092,4.90863171,010100002040710000713D0AD7C9E2FD4096438BEC4EC61D41,0101000020E61000005281915970A21340956FF0084D304A40
De Ruijterkade,148,C,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061052,f,52.37735838,4.90855919,010100002040710000736891ED7AE2FD403789416052C61D41,0101000020E610000072C662575DA2134054C28B474D304A40
De Ruijterkade,148,D,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012061053,f,52.37734852,4.90858465,0101000020407100008195438B96E2FD400AD7A3F04DC61D41,0101000020E61000005CE39A0364A21340BCFBCBF44C304A40
De Ruijterkade,149,A,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010003684518,f,52.37733568,4.90871095,0101000020407100000000000020E3FD400000000048C61D41,0101000020E61000007F09D61F85A21340A9461E894C304A40
De Ruijterkade,149,B,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010003684519,f,52.37733556,4.90868158,0101000020407100000000000000E3FD400000000048C61D41,0101000020E610000020FBCD6C7DA21340B5671F884C304A40
De Ruijterkade,149,C,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010003684520,f,52.37733556,4.90868158,0101000020407100000000000000E3FD400000000048C61D41,0101000020E610000020FBCD6C7DA21340B5671F884C304A40
De Ruijterkade,150,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618822,f,52.37725557,4.90890274,01010000204071000000000000F0E3FD400000000024C61D41,0101000020E6100000B89C1466B7A2134022D811E949304A40
De Ruijterkade,151,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012101308,f,52.37758857,4.90901663,0101000020407100000000000070E4FD4000000000B8C61D41,0101000020E610000028569641D5A213406DAD83D254304A40
De Ruijterkade,152,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001173927,f,52.37730169,4.90919596,0101000020407100000000000030E5FD400000000038C61D41,0101000020E610000014D5DB4304A313407B11F96B4B304A40
De Ruijterkade,154,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001173928,f,52.37726669,4.90943131,0101000020407100000000000030E6FD400000000028C61D41,0101000020E610000073AA16F641A3134051155D464A304A40
Oosterdokskade,1,A,,1011AD,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012085905,f,52.37695726,4.90440866,010100002040710000C1CAA145CCD0FD40E5D0225BA7C51D41,0101000020E6100000B29AE84D1D9E134016DDB82240304A40
Oosterdokskade,1,,,1011AD,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012085904,f,52.37681974,4.9044915,010100002040710000894160E524D1FD40000000006AC51D41,0101000020E61000001C3C5205339E13405F3615A13B304A40
Oosterdokskade,3,,,1011AD,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001983726,f,52.37658425,4.90515043,01010000204071000000000000F0D3FD400000000000C51D41,0101000020E6100000EA8025C1DF9E1340D505A7E933304A40
Oosterdokskade,8,,,1011AE,Amsterdam,Amsterdam,Noord-Holland,LIG,363020001025735,f,52.37570113,4.90636389,01010000204071000070B055A00FD9FD409CF32EC574C31D41,0101000020E6100000D7191BDB1DA0134087C286F916304A40
Oosterdokskade,100,,,1011AE,Amsterdam,Amsterdam,Noord-Holland,VBO,363010001025739,f,52.3755824,4.91077114,01010000204071000000000000D0EBFD400000000038C31D41,0101000020E6100000A12B6D30A1A413402F81881513304A40
Prins Hendrikkade,96,,,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783113,f,52.37594525,4.90273427,01010000204071000000000000A0C9FD4000000000E8C31D41,0101000020E61000003539165F669C1340A25656F91E304A40
Prins Hendrikkade,97,,,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000949705,f,52.37591877,4.90285204,0101000020407100000000000020CAFD4000000000DCC31D41,0101000020E61000001F22B83E859C1340B22E321B1E304A40
Prins Hendrikkade,98,A,,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783120,f,52.3759011,4.90292566,0101000020407100000000000070CAFD4000000000D4C31D41,0101000020E610000018D64E8B989C1340ADF2EE861D304A40
Prins Hendrikkade,98,B,,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000949704,f,52.3758561,4.90291147,0101000020407100000000000060CAFD4000000000C0C31D41,0101000020E610000034BEC0D2949C1340D29E790D1C304A40
Prins Hendrikkade,99,B,1,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783116,f,52.37582938,4.9029705,01010000204071000000000000A0CAFD4000000000B4C31D41,0101000020E610000060A06F4CA49C1340E946512D1B304A40
Prins Hendrikkade,99,B,2,1011AG,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000783117,f,52.37582938,4.9029705,01010000204071000000000000A0CAFD4000000000B4C31D41,0101000020E610000060A06F4CA49C1340E946512D1B304A40
